address,postal_code,country,federal_district,region_type,region,area_type,area,city_type,city,settlement_type,settlement,kladr_id,fias_id,fias_level,capital_marker,okato,oktmo,tax_office,timezone,geo_lat,geo_lon,population,foundation_year
"Красноярский край, г Шарыпово",662310,Россия,Сибирский,край,Красноярский,,,город,Шарыпово,,,2400001900000,e21e9175-86f9-4e24-b129-abdee0f956dc,4,0,4440000000,4740000,2459,UTC+7,55.5389739,89.1801044,38570,1799
"Респ Крым, г Алушта",298500,Россия,Южный,Респ,Крым,,,город,Алушта,,,9100001100000,1fb30227-c758-4b1a-814b-eab9c8e7a582,4,0,35403000000,35703000,9100,UTC+3,44.6764304,34.4100624,29078,599
"Респ Крым, Белогорский р-н, г Белогорск",297600,Россия,Южный,Респ,Крым,р-н,Белогорский,город,Белогорск,,,9100200100000,b8fb5c0b-4de5-4fa4-aa50-e5dc9265116a,4,0,35207501000,35607101001,9109,UTC+3,45.057202,34.5999029,16354,1299
"Респ Крым, г Евпатория",297402,Россия,Южный,Респ,Крым,,,город,Евпатория,,,9100000900000,e11bab0f-338d-43e0-bfa4-1d3c87759e2a,4,0,35409000000,35712000001,9110,UTC+3,45.190629,33.367634,105719,-497
"Респ Крым, г Керчь",298300,Россия,Южный,Респ,Крым,,,город,Керчь,,,9100000100000,b7b1ef3e-bd1c-4080-80ea-f0580b40281b,4,0,35412000000,35715000001,9111,UTC+3,45.3562627,36.4674513,147033,500
"Респ Крым, Кировский р-н, г Старый Крым",297345,Россия,Южный,Респ,Крым,р-н,Кировский,город,Старый Крым,,,9100400100000,3f9914af-d6b7-47bb-9787-a12a6cf5d1d2,4,0,35216504000,35616104001,9108,UTC+3,45.029058,35.0901474,9277,1299
"Респ Крым, г Феодосия",298100,Россия,Южный,Респ,Крым,,,город,Феодосия,,,9100001000000,ddc99126-8c9c-49e0-be2b-e05d2dcdf22e,4,0,35417000000,35726000001,9100,UTC+3,45.0318393,35.3824259,69038,-599
"Курская обл, г Суджа",307800,Россия,Центральный,обл,Курская,р-н,Суджанский,город,Суджа,,,4602300100000,abd43820-a1d4-4e16-adb4-8532959b6e98,4,1,38240501000,38640101001,4623,UTC+3,51.1918927,35.2720915,6036,1599
"Курская обл, г Фатеж",307100,Россия,Центральный,обл,Курская,р-н,Фатежский,город,Фатеж,,,4602500100000,f5c96821-4438-461c-b5da-2c812cd0bc0a,4,1,38244501000,38644101,4611,UTC+3,52.0917728,35.8538706,5404,1599
"Курская обл, г Щигры",306509,Россия,Центральный,обл,Курская,,,город,Щигры,,,4600000500000,9382c84c-3d08-4136-a674-9402da0b9e40,4,1,38415000000,38715000,4600,UTC+3,51.8786014,36.8910945,17043,1799
